feature_name,feature_category,source,description,leakage_or_limit_note,calculation_logic,preprocessing_method,discrimination_evaluation,evaluation_source
arrival_month_num,时间特征,arrival_date,入住月份数字。,无,由 arrival_date 拆分或格式化得到。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0023，互信息=0.0000，随机森林重要性=0.0004。,reports/feature_selection_report.csv
arrival_month,时间特征,arrival_date,入住年月，格式为 YYYY-MM。,无,由 arrival_date 拆分或格式化得到。,低维类别字段，使用 One-Hot Encoding。,匹配 13 个预处理后字段；最高 |相关系数|=0.0044，互信息=0.0011，随机森林重要性=0.0000。,reports/feature_selection_report.csv
arrival_quarter_label,时间特征,arrival_date,入住季度标签，格式为 YYYYQn。,无,由 arrival_date 拆分或格式化得到。,低维类别字段，使用 One-Hot Encoding。,匹配 4 个预处理后字段；最高 |相关系数|=0.0040，互信息=0.0000，随机森林重要性=0.0000。,reports/feature_selection_report.csv
arrival_quarter,时间特征,arrival_date,入住季度。,无,由 arrival_date 拆分或格式化得到。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0027，互信息=0.0000，随机森林重要性=0.0004。,reports/feature_selection_report.csv
arrival_day_of_week,时间特征,arrival_date,入住日期星期几，0 表示周一。,无,由 arrival_date 拆分或格式化得到。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0061，互信息=0.0000，随机森林重要性=0.0001。,reports/feature_selection_report.csv
is_weekend,时间特征,arrival_date,是否周末。,无,由入住日期星期几判断，周六和周日记为周末/节假日代理。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0059，互信息=0.0000，随机森林重要性=0.0000。,reports/feature_selection_report.csv
is_holiday_proxy,时间特征,is_weekend,按项目口径将周末作为节假日/休闲出行日代理。,不是法定节假日。,由入住日期星期几判断，周六和周日记为周末/节假日代理。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0059，互信息=0.0004，随机森林重要性=0.0000。,reports/feature_selection_report.csv
holiday_proxy,时间特征,is_weekend,周末节假日代理标签，用于 EDA 分组展示。,不是法定节假日。,由入住日期星期几判断，周六和周日记为周末/节假日代理。,低维类别字段，使用 One-Hot Encoding。,匹配 2 个预处理后字段；最高 |相关系数|=0.0059，互信息=0.0036，随机森林重要性=0.0000。,reports/feature_selection_report.csv
is_near_holiday_proxy,时间特征,arrival_day_of_week,周五和周一作为靠近周末节假日的代理。,不是法定节假日前后。,由入住日期星期几判断，周五和周一记为靠近周末节假日代理。,数值型或布尔型字段，使用训练集拟合 StandardScaler 后标准化。,匹配 1 个预处理后字段；最高 |相关系数|=0.0054，互信息=0.0032，随机森林重要性=0.0000。,reports/feature_selection_report.csv
season_type,季节性特征,arrival_month_num,基于月度预订量分位数划分淡季、平季、旺季。,仅为当前样本探索口径。,按月度预订量分位数划分淡季、平季和旺季，再生成对应标记。,低维类别字段，使用 One-Hot Encoding。,匹配 3 个预处理后字段；最高 |相关系数|=0.0019，互信息=0.0000，随机森林重要性=0.0000。,reports/feature_selection_report.csv
